Season,DateFix,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2009,8/15/2009,Aston Villa,Wigan,0,2,A,0,1,A
2009,8/15/2009,Blackburn,Man City,0,2,A,0,1,A
2009,8/15/2009,Bolton,Sunderland,0,1,A,0,1,A
2009,8/15/2009,Chelsea,Hull,2,1,H,1,1,D
2009,8/15/2009,Everton,Arsenal,1,6,A,0,3,A
2009,8/15/2009,Portsmouth,Fulham,0,1,A,0,1,A
2009,8/15/2009,Stoke,Burnley,2,0,H,2,0,H
2009,8/15/2009,Wolves,West Ham,0,2,A,0,1,A
2009,8/16/2009,Man United,Birmingham,1,0,H,1,0,H
2009,8/16/2009,Tottenham,Liverpool,2,1,H,1,0,H
2009,8/18/2009,Sunderland,Chelsea,1,3,A,1,0,H
2009,8/18/2009,Wigan,Wolves,0,1,A,0,1,A
2009,8/19/2009,Birmingham,Portsmouth,1,0,H,0,0,D
2009,8/19/2009,Burnley,Man United,1,0,H,1,0,H
2009,8/19/2009,Hull,Tottenham,1,5,A,1,3,A
2009,8/19/2009,Liverpool,Stoke,4,0,H,2,0,H
2009,8/22/2009,Arsenal,Portsmouth,4,1,H,2,1,H
2009,8/22/2009,Birmingham,Stoke,0,0,D,0,0,D
2009,8/22/2009,Hull,Bolton,1,0,H,0,0,D
2009,8/22/2009,Man City,Wolves,1,0,H,1,0,H
2009,8/22/2009,Sunderland,Blackburn,2,1,H,1,1,D
2009,8/22/2009,Wigan,Man United,0,5,A,0,0,D
2009,8/23/2009,Burnley,Everton,1,0,H,1,0,H
2009,8/23/2009,Fulham,Chelsea,0,2,A,0,1,A
2009,8/23/2009,West Ham,Tottenham,1,2,A,0,0,D
2009,8/24/2009,Liverpool,Aston Villa,1,3,A,0,2,A
2009,8/29/2009,Blackburn,West Ham,0,0,D,0,0,D
2009,8/29/2009,Bolton,Liverpool,2,3,A,1,1,D
2009,8/29/2009,Chelsea,Burnley,3,0,H,1,0,H
2009,8/29/2009,Man United,Arsenal,2,1,H,0,1,A
2009,8/29/2009,Stoke,Sunderland,1,0,H,1,0,H
2009,8/29/2009,Tottenham,Birmingham,2,1,H,0,0,D
2009,8/29/2009,Wolves,Hull,1,1,D,0,1,A
2009,8/30/2009,Aston Villa,Fulham,2,0,H,1,0,H
2009,8/30/2009,Everton,Wigan,2,1,H,0,0,D
2009,8/30/2009,Portsmouth,Man City,0,1,A,0,1,A
2009,9/12/2009,Blackburn,Wolves,3,1,H,1,0,H
2009,9/12/2009,Liverpool,Burnley,4,0,H,2,0,H
