Season,Date,Visitor,Visit_League,Home,HomeLeague,VisitScore,HomeScore
2000,3/29/2000,CHN,NL,NYN,NL,5,3
2000,3/30/2000,NYN,NL,CHN,NL,5,1
2000,4/3/2000,COL,NL,ATL,NL,0,2
2000,4/3/2000,MIL,NL,CIN,NL,3,3
2000,4/3/2000,SFN,NL,FLO,NL,4,6
2000,4/3/2000,LAN,NL,MON,NL,10,4
2000,4/3/2000,SDN,NL,NYN,NL,1,2
2000,4/3/2000,CHN,NL,SLN,NL,1,7
2000,4/3/2000,NYA,AL,ANA,AL,3,2
2000,4/3/2000,CLE,AL,BAL,AL,4,1
2000,4/3/2000,TBA,AL,MIN,AL,7,0
2000,4/3/2000,DET,AL,OAK,AL,7,4
2000,4/3/2000,CHA,AL,TEX,AL,4,10
2000,4/3/2000,KCA,AL,TOR,AL,4,5
2000,4/4/2000,PHI,NL,ARI,NL,4,6
2000,4/4/2000,COL,NL,ATL,NL,5,3
2000,4/4/2000,MIL,NL,CIN,NL,5,1
2000,4/4/2000,SFN,NL,FLO,NL,3,0
2000,4/4/2000,LAN,NL,MON,NL,10,4
2000,4/4/2000,HOU,NL,PIT,NL,5,2
2000,4/4/2000,NYA,AL,ANA,AL,5,3
2000,4/4/2000,TBA,AL,MIN,AL,5,6
2000,4/4/2000,DET,AL,OAK,AL,1,3
2000,4/4/2000,BOS,AL,SEA,AL,2,0
2000,4/4/2000,CHA,AL,TEX,AL,8,12
2000,4/4/2000,KCA,AL,TOR,AL,3,6
2000,4/5/2000,PHI,NL,ARI,NL,3,11
2000,4/5/2000,COL,NL,ATL,NL,6,9
2000,4/5/2000,MIL,NL,CIN,NL,8,5
2000,4/5/2000,SFN,NL,FLO,NL,11,9
2000,4/5/2000,LAN,NL,MON,NL,5,6
2000,4/5/2000,SDN,NL,NYN,NL,4,0
2000,4/5/2000,HOU,NL,PIT,NL,11,2
2000,4/5/2000,CHN,NL,SLN,NL,4,10
2000,4/5/2000,NYA,AL,ANA,AL,6,12
2000,4/5/2000,CLE,AL,BAL,AL,7,11
2000,4/5/2000,TBA,AL,MIN,AL,7,10
2000,4/5/2000,DET,AL,OAK,AL,2,8
2000,4/5/2000,BOS,AL,SEA,AL,3,9
2000,4/5/2000,CHA,AL,TEX,AL,12,8
2000,4/5/2000,KCA,AL,TOR,AL,4,3
2000,4/6/2000,PHI,NL,ARI,NL,2,3
2000,4/6/2000,MIL,NL,CIN,NL,1,5
2000,4/6/2000,SFN,NL,FLO,NL,4,5
2000,4/6/2000,LAN,NL,MON,NL,3,11
2000,4/6/2000,SDN,NL,NYN,NL,8,5
2000,4/6/2000,HOU,NL,PIT,NL,1,10
2000,4/6/2000,CHN,NL,SLN,NL,3,13
2000,4/6/2000,CLE,AL,BAL,AL,2,6
2000,4/6/2000,TBA,AL,MIN,AL,7,6
2000,4/6/2000,BOS,AL,SEA,AL,2,5
2000,4/6/2000,CHA,AL,TEX,AL,6,2
2000,4/6/2000,KCA,AL,TOR,AL,9,3
2000,4/7/2000,PIT,NL,ARI,NL,7,2
2000,4/7/2000,SFN,NL,ATL,NL,6,2
2000,4/7/2000,CHN,NL,CIN,NL,10,6
2000,4/7/2000,COL,NL,FLO,NL,3,4
2000,4/7/2000,PHI,NL,HOU,NL,4,1
2000,4/7/2000,SDN,NL,MON,NL,10,5
2000,4/7/2000,LAN,NL,NYN,NL,1,2
2000,4/7/2000,MIL,NL,SLN,NL,9,1
2000,4/7/2000,BOS,AL,ANA,AL,3,7
2000,4/7/2000,DET,AL,BAL,AL,10,14
2000,4/7/2000,MIN,AL,KCA,AL,6,10
2000,4/7/2000,CHA,AL,OAK,AL,7,6
2000,4/7/2000,NYA,AL,SEA,AL,5,7
2000,4/7/2000,CLE,AL,TBA,AL,14,5
2000,4/7/2000,TOR,AL,TEX,AL,5,11
2000,4/8/2000,PIT,NL,ARI,NL,5,6
2000,4/8/2000,SFN,NL,ATL,NL,5,7
2000,4/8/2000,CHN,NL,CIN,NL,3,4
2000,4/8/2000,COL,NL,FLO,NL,4,2
2000,4/8/2000,PHI,NL,HOU,NL,5,8
2000,4/8/2000,SDN,NL,MON,NL,9,10
2000,4/8/2000,LAN,NL,NYN,NL,6,5
2000,4/8/2000,MIL,NL,SLN,NL,8,10
2000,4/8/2000,BOS,AL,ANA,AL,5,7
2000,4/8/2000,DET,AL,BAL,AL,1,2
2000,4/8/2000,MIN,AL,KCA,AL,2,5
2000,4/8/2000,CHA,AL,OAK,AL,7,3
2000,4/8/2000,NYA,AL,SEA,AL,3,2
2000,4/8/2000,CLE,AL,TBA,AL,6,4
2000,4/8/2000,TOR,AL,TEX,AL,4,0
2000,4/9/2000,PIT,NL,ARI,NL,0,1
2000,4/9/2000,SFN,NL,ATL,NL,3,9
2000,4/9/2000,CHN,NL,CIN,NL,7,8
2000,4/9/2000,COL,NL,FLO,NL,6,7
2000,4/9/2000,PHI,NL,HOU,NL,3,2
2000,4/9/2000,SDN,NL,MON,NL,1,2
2000,4/9/2000,MIL,NL,SLN,NL,2,11
2000,4/9/2000,BOS,AL,ANA,AL,5,2
2000,4/9/2000,DET,AL,BAL,AL,6,11
2000,4/9/2000,MIN,AL,KCA,AL,13,7
2000,4/9/2000,CHA,AL,OAK,AL,2,14
2000,4/9/2000,NYA,AL,SEA,AL,3,9
2000,4/9/2000,CLE,AL,TBA,AL,17,4
2000,4/9/2000,TOR,AL,TEX,AL,5,7
2000,4/10/2000,ATL,NL,CHN,NL,3,4
2000,4/10/2000,CIN,NL,COL,NL,5,7
2000,4/10/2000,SLN,NL,HOU,NL,8,7
2000,4/10/2000,FLO,NL,MIL,NL,3,4
2000,4/10/2000,NYN,NL,PHI,NL,7,9
2000,4/10/2000,ARI,NL,SDN,NL,8,4
2000,4/10/2000,TOR,AL,ANA,AL,0,6
2000,4/10/2000,MIN,AL,KCA,AL,5,6
2000,4/10/2000,CLE,AL,OAK,AL,9,4
2000,4/11/2000,CIN,NL,COL,NL,10,3
2000,4/11/2000,SLN,NL,HOU,NL,10,6
2000,4/11/2000,MON,NL,PIT,NL,7,3
2000,4/11/2000,ARI,NL,SDN,NL,2,3
2000,4/11/2000,LAN,NL,SFN,NL,6,5
2000,4/11/2000,TOR,AL,ANA,AL,4,5
2000,4/11/2000,MIN,AL,BOS,AL,4,13
2000,4/11/2000,SEA,AL,DET,AL,2,5
2000,4/11/2000,BAL,AL,KCA,AL,5,7
2000,4/11/2000,CLE,AL,OAK,AL,5,1
2000,4/11/2000,CHA,AL,TBA,AL,13,6
2000,4/12/2000,ATL,NL,CHN,NL,4,11
2000,4/12/2000,CIN,NL,COL,NL,5,7
2000,4/12/2000,SLN,NL,HOU,NL,5,7
2000,4/12/2000,FLO,NL,MIL,NL,11,4
2000,4/12/2000,NYN,NL,PHI,NL,5,8
2000,4/12/2000,MON,NL,PIT,NL,4,6
2000,4/12/2000,ARI,NL,SDN,NL,2,4
2000,4/12/2000,LAN,NL,SFN,NL,6,5
2000,4/12/2000,TOR,AL,ANA,AL,6,2
2000,4/12/2000,MIN,AL,BOS,AL,3,7
2000,4/12/2000,SEA,AL,DET,AL,4,0
2000,4/12/2000,BAL,AL,KCA,AL,6,7
2000,4/12/2000,TEX,AL,NYA,AL,6,8
2000,4/12/2000,CLE,AL,OAK,AL,5,0
2000,4/12/2000,CHA,AL,TBA,AL,7,1
2000,4/13/2000,ATL,NL,CHN,NL,2,3
2000,4/13/2000,SLN,NL,COL,NL,6,12
2000,4/13/2000,FLO,NL,MIL,NL,0,4
2000,4/13/2000,NYN,NL,PHI,NL,2,1
2000,4/13/2000,MON,NL,PIT,NL,3,4
2000,4/13/2000,ARI,NL,SDN,NL,5,4
2000,4/13/2000,LAN,NL,SFN,NL,11,7
2000,4/13/2000,MIN,AL,BOS,AL,3,4
2000,4/13/2000,SEA,AL,DET,AL,0,2
2000,4/13/2000,BAL,AL,KCA,AL,5,6
2000,4/13/2000,TEX,AL,NYA,AL,1,5
2000,4/13/2000,CHA,AL,TBA,AL,5,6
2000,4/14/2000,FLO,NL,CHN,NL,9,4
2000,4/14/2000,SLN,NL,COL,NL,2,6
2000,4/14/2000,CIN,NL,LAN,NL,1,8
2000,4/14/2000,ATL,NL,MIL,NL,6,3
2000,4/14/2000,MON,NL,PHI,NL,4,0
2000,4/14/2000,NYN,NL,PIT,NL,8,5
2000,4/14/2000,HOU,NL,SDN,NL,10,4
2000,4/14/2000,ARI,NL,SFN,NL,3,1
2000,4/14/2000,OAK,AL,BOS,AL,13,6
2000,4/14/2000,ANA,AL,CHA,AL,4,9
2000,4/14/2000,TEX,AL,CLE,AL,7,2
2000,4/14/2000,TBA,AL,DET,AL,5,10
2000,4/14/2000,BAL,AL,MIN,AL,9,10
2000,4/14/2000,KCA,AL,NYA,AL,5,7
2000,4/14/2000,SEA,AL,TOR,AL,11,9
2000,4/15/2000,FLO,NL,CHN,NL,2,4
