HomeID,HomeConf,HomeDiv,RoadID,RoadConf,RoadDiv
EastCentral2,East,Central,EastAtlantic2,East,Atlantic
WestPacific1,West,Pacific,WestSouthwest2,West,Southwest
EastCentral3,East,Central,EastSoutheast2,East,Southeast
EastCentral4,East,Central,EastAtlantic1,East,Atlantic
EastSoutheast4,East,Southeast,EastSoutheast3,East,Southeast
EastSoutheast5,East,Southeast,EastAtlantic4,East,Atlantic
EastAtlantic2,East,Atlantic,EastCentral5,East,Central
WestSouthwest3,West,Southwest,WestSouthwest4,West,Southwest
WestSouthwest1,West,Southwest,EastSoutheast1,East,Southeast
WestNorthwest5,West,Northwest,WestNorthwest1,West,Northwest
WestSouthwest5,West,Southwest,WestNorthwest2,West,Northwest
WestPacific4,West,Pacific,WestNorthwest4,West,Northwest
WestPacific5,West,Pacific,WestSouthwest2,West,Southwest
EastAtlantic5,East,Atlantic,EastCentral1,East,Central
WestNorthwest3,West,Northwest,EastAtlantic3,East,Atlantic
WestPacific3,West,Pacific,WestPacific2,West,Pacific
EastSoutheast2,East,Southeast,EastSoutheast1,East,Southeast
EastCentral4,East,Central,WestNorthwest4,West,Northwest
EastCentral5,East,Central,EastCentral2,East,Central
EastAtlantic4,East,Atlantic,EastAtlantic2,East,Atlantic
EastSoutheast5,East,Southeast,EastCentral3,East,Central
EastAtlantic1,East,Atlantic,EastSoutheast4,East,Southeast
WestNorthwest2,West,Northwest,WestNorthwest5,West,Northwest
WestSouthwest1,West,Southwest,WestPacific5,West,Pacific
WestSouthwest4,West,Southwest,WestPacific1,West,Pacific
WestPacific4,West,Pacific,WestPacific3,West,Pacific
EastAtlantic5,East,Atlantic,EastAtlantic4,East,Atlantic
EastCentral1,East,Central,WestSouthwest5,West,Southwest
EastCentral2,East,Central,EastSoutheast4,East,Southeast
WestSouthwest2,West,Southwest,WestSouthwest1,West,Southwest
WestSouthwest3,West,Southwest,WestPacific1,West,Pacific
EastSoutheast3,East,Southeast,EastCentral4,East,Central
EastAtlantic3,East,Atlantic,EastCentral3,East,Central
EastCentral5,East,Central,WestNorthwest4,West,Northwest
WestNorthwest1,West,Northwest,WestPacific5,West,Pacific
WestNorthwest5,West,Northwest,WestNorthwest3,West,Northwest
WestPacific2,West,Pacific,WestPacific4,West,Pacific
EastAtlantic1,East,Atlantic,EastSoutheast1,East,Southeast
WestNorthwest3,West,Northwest,WestNorthwest2,West,Northwest
WestPacific3,West,Pacific,WestSouthwest4,West,Southwest
EastCentral3,East,Central,EastAtlantic4,East,Atlantic
EastSoutheast3,East,Southeast,EastSoutheast1,East,Southeast
WestSouthwest2,West,Southwest,WestSouthwest3,West,Southwest
EastCentral5,East,Central,EastSoutheast2,East,Southeast
WestSouthwest1,West,Southwest,WestPacific1,West,Pacific
WestSouthwest5,West,Southwest,EastAtlantic5,East,Atlantic
WestNorthwest1,West,Northwest,EastSoutheast5,East,Southeast
WestPacific4,West,Pacific,WestPacific5,West,Pacific
EastCentral2,East,Central,EastCentral1,East,Central
EastSoutheast4,East,Southeast,EastAtlantic1,East,Atlantic
EastAtlantic2,East,Atlantic,EastAtlantic3,East,Atlantic
WestNorthwest2,West,Northwest,EastCentral4,East,Central
WestNorthwest4,West,Northwest,WestSouthwest4,West,Southwest
WestPacific2,West,Pacific,WestNorthwest5,West,Northwest
EastSoutheast2,East,Southeast,WestNorthwest1,West,Northwest
EastCentral3,East,Central,WestNorthwest2,West,Northwest
EastAtlantic4,East,Atlantic,WestSouthwest2,West,Southwest
EastAtlantic1,East,Atlantic,EastCentral2,East,Central
EastSoutheast3,East,Southeast,WestSouthwest5,West,Southwest
WestNorthwest3,West,Northwest,EastCentral4,East,Central
WestSouthwest1,West,Southwest,WestSouthwest3,West,Southwest
WestPacific4,West,Pacific,WestNorthwest5,West,Northwest
WestPacific1,West,Pacific,EastAtlantic5,East,Atlantic
WestPacific3,West,Pacific,EastSoutheast5,East,Southeast
EastCentral1,East,Central,EastSoutheast1,East,Southeast
WestSouthwest3,West,Southwest,WestSouthwest1,West,Southwest
EastCentral5,East,Central,EastAtlantic2,East,Atlantic
