Season,gmDate,HomeTeam,HomeConf,HomeDiv,HomeRslt,HomePts,RoadTeam,RoadCOnf,RoadDiv,RoadPts
2012,10/30/2012,CLE,East,Central,Win,94,WAS,East,Southeast,84
2012,10/30/2012,MIA,East,Southeast,Win,120,BOS,East,Atlantic,107
2012,10/30/2012,LAL,West,Pacific,Loss,91,DAL,West,Southwest,99
2012,10/31/2012,PHI,East,Atlantic,Win,84,DEN,West,Northwest,75
2012,10/31/2012,TOR,East,Atlantic,Loss,88,IND,East,Central,90
2012,10/31/2012,DET,East,Central,Loss,96,HOU,West,Southwest,105
2012,10/31/2012,CHI,East,Central,Win,93,SAC,West,Pacific,87
2012,10/31/2012,NO,West,Southwest,Loss,95,SA,West,Southwest,99
2012,10/31/2012,UTA,West,Northwest,Win,113,DAL,West,Southwest,94
2012,10/31/2012,PHO,West,Pacific,Loss,85,GS,West,Pacific,87
2012,10/31/2012,LAC,West,Pacific,Win,101,MEM,West,Southwest,92
2012,10/31/2012,POR,West,Northwest,Win,116,LAL,West,Pacific,106
2012,11/1/2012,SA,West,Southwest,Win,86,OKC,West,Northwest,84
2012,11/2/2012,ORL,East,Southeast,Win,102,DEN,West,Northwest,89
2012,11/2/2012,CHA,East,Southeast,Win,90,IND,East,Central,89
2012,11/2/2012,BOS,East,Atlantic,Loss,88,MIL,East,Central,99
2012,11/2/2012,CLE,East,Central,Loss,86,CHI,East,Central,115
2012,11/2/2012,ATL,East,Southeast,Loss,102,HOU,West,Southwest,109
2012,11/2/2012,NY,East,Atlantic,Win,104,MIA,East,Southeast,84
2012,11/2/2012,NO,West,Southwest,Win,88,UTA,West,Northwest,86
2012,11/2/2012,MIN,West,Northwest,Win,92,SAC,West,Pacific,80
2012,11/2/2012,OKC,West,Northwest,Win,106,POR,West,Northwest,92
2012,11/2/2012,PHO,West,Pacific,Win,92,DET,East,Central,89
2012,11/2/2012,LAL,West,Pacific,Loss,95,LAC,West,Pacific,105
2012,11/2/2012,GS,West,Pacific,Loss,94,MEM,West,Southwest,104
2012,11/3/2012,WAS,East,Southeast,Loss,86,BOS,East,Atlantic,89
2012,11/3/2012,IND,East,Central,Win,106,SAC,West,Pacific,98
2012,11/3/2012,MIA,East,Southeast,Win,119,DEN,West,Northwest,116
2012,11/3/2012,BKN,East,Atlantic,Win,107,TOR,East,Atlantic,100
2012,11/3/2012,CHI,East,Central,Loss,82,NO,West,Southwest,89
2012,11/3/2012,HOU,West,Southwest,Loss,85,POR,West,Northwest,95
2012,11/3/2012,DAL,West,Southwest,Win,126,CHA,East,Southeast,99
